offset,latA,latB,label
0x11c00,277.0,303.0,0
0x11c80,276.9,302.8,0
0x11d00,302.8,276.6,1
0x11d80,302.7,276.6,1
0x11e00,277.0,303.0,0
0x11e80,277.0,302.8,0
0x11f00,302.6,276.8,1
0x11f80,302.6,276.5,1
0x12000,303.8,278.5,1
0x12080,303.5,278.4,1
0x12100,304.4,278.5,1
0x12180,304.3,278.6,1
0x12200,303.7,278.4,1
0x12280,303.5,278.5,1
0x12300,304.3,278.5,1
0x12380,304.1,278.6,1
0x12400,278.2,307.9,0
0x12480,278.2,307.8,0
0x12500,277.0,315.3,0
0x12580,276.8,315.2,0
0x12600,278.2,307.9,0
0x12680,278.0,307.8,0
0x12700,277.1,315.2,0
0x12780,277.0,315.2,0
0x12800,304.1,278.4,1
0x12880,304.1,278.4,1
0x12900,278.6,304.3,0
0x12980,278.4,304.4,0
0x12a00,304.1,278.3,1
0x12a80,304.1,278.3,1
0x12b00,278.5,304.5,0
0x12b80,278.5,304.2,0
0x12c00,277.5,310.9,0
0x12c80,277.4,310.9,0
0x12d00,304.0,278.9,1
0x12d80,303.9,278.7,1
0x12e00,277.6,311.0,0
0x12e80,277.6,311.0,0
0x12f00,304.1,278.6,1
0x12f80,304.0,278.6,1
0x13000,304.6,275.5,1
0x13080,304.5,275.7,1
0x13100,304.6,275.9,1
0x13180,304.4,276.0,1
0x13200,304.5,275.5,1
0x13280,304.5,275.6,1
0x13300,304.4,276.1,1
0x13380,304.2,276.0,1
0x13400,278.1,308.3,0
0x13480,277.9,308.4,0
0x13500,278.8,305.3,0
0x13580,278.7,305.3,0
0x13600,278.0,308.3,0
0x13680,278.0,308.2,0
0x13700,278.8,305.3,0
0x13780,279.0,305.4,0
0x13800,279.4,302.1,0
0x13880,279.0,302.0,0
0x13900,304.8,276.2,1
0x13980,304.8,276.1,1
0x13a00,279.1,302.1,0
0x13a80,279.1,302.1,0
0x13b00,304.9,276.3,1
0x13b80,304.8,276.2,1
0x13c00,304.2,275.9,1
0x13c80,304.1,275.9,1
0x13d00,277.2,312.7,0
